tipo,pregunta
general,¿Quién es más probable que llegue tarde a su propia boda?
general,¿Quién es más probable que se olvide de un cumpleaños importante?
general,¿Quién es más probable que se duerma en el transporte público y se pase de parada?
general,¿Quién es más probable que adopte un animal sin pensarlo dos veces?
general,¿Quién es más probable que pierda el móvil en una noche de fiesta?
general,¿Quién es más probable que se haga viral en Internet sin querer?
picante,¿Quién es más probable que mande un mensaje subido de tono a la persona equivocada?
picante,¿Quién es más probable que ligue con alguien solo por conseguir algo?
picante,¿Quién es más probable que vuelva con un ex?
picante,¿Quién es más probable que tenga una cita incómoda y se quede igual?
picante,¿Quién es más probable que empiece un juego de verdad o reto?
humor,¿Quién es más probable que se caiga en público haciendo algo normal?
humor,¿Quién es más probable que se ría en un momento en el que no debe?
humor,¿Quién es más probable que invente una excusa absurda para no salir?
humor,¿Quién es más probable que cuente un chiste malo y se ría solo?
humor,¿Quién es más probable que hable solo en voz alta sin darse cuenta?
