tipo,pregunta
hombre, se droga
hombre, es cani
hombre, lleva mullet
hombre, tatuajes de personajes masculinos
hombre, fan de berserk
hombre, lee filosofia
hombre, toca la guitarra
hombre, gymbro
hombre, es cinefilo
hombre, skater
hombre, dice que su ex estaba loca
hombre, juega al lol
hombre, le molan las criptomonedas
hombre, fan de Kanye West
hombre, metalero
hombre, es ciclista
hombre, historias destacadas con su moto o coche
mujer, mechas californianas
mujer, padres divorciados
ambos, estudiante de medicina
ambos, muy mimado/a en casa
ambos, tiene Tinder
mujer, MUY fan de Harry Potter
ambos, lleva camisetas de grupos de música que nunca ha escuchado
ambos, pasa todo el dia en TikTok
mujer, se hace la tonta delante de los hombres
mujer, lleva choker
hombre, no tiene ninguna amiga mujer
mujer, eyeliner muy alargado
mujer, pelo de colores
mujer, coqueteo con el lesbianismo ocasional
mujer, se toma muchas confianzas hablando de sexo en público
ambos, lleva ropa de la marca FILA
hombre, lleva nauticos
ambos, hace yoga
mujer, hija única
ambos, no sabe cocinar
ambos, no le gustan los animales
ambos, desaparece en las fiestas
ambos, demasiado puntual
hombre, que sea futbolero
ambos, va al viña rock
hombre, estudiante de ingenieria
hombre, ve al xokas
hombre, no cree que las mujeres sean tan graciosas como los hombres
ambos, purista con la música
ambos, le gusta LQSA
ambos, se va de voluntariado
ambos, le gusta Morat y Taburete
hombre, tiene forocoches
ambos, habla mal de su madre
ambos, habla mal a los camareros
ambos, tira basura a la calle
hombre, quejarse de que niñas lloren por la ruptura de 1D pero llora cuando Messi se fue del barça
hombre, comumacho
ambos, bebe agua con gas
ambos, madrileño
hombre, canta canciones fachas borracho
ambos, critica como viste otra gente
ambos, ultra religioso/a
ambos, fue a colegio privado
hombre, trabaja o oposita a cuerpos de seguridad
hombre, calzoncillos debajo del bañador
ambos, es opositor
hombre, cree de verdad en la teoria crazy/hot
hombre, piensa que el feminismo es lo contrario al machismo
ambos, no le importa que tontees con tu mismo genero aunque seas bi
hombre, le da asco las chicas no depiladas
ambos, su color favorito es naranja (ligate a una bombona de butano)
ambos, se va mucho de rave
ambos, no respeta tus gustos
hombre, es electricista
