tipo,pregunta
verdad,¿Cuál es la mentira más grande que has dicho a tus padres?
verdad,¿Cuál es tu mayor miedo secreto?
verdad,¿Qué cosa vergonzosa has hecho que nadie sepa?
verdad,¿A quién de los presentes besarías si tuvieras que hacerlo?
verdad,¿Cuál es la cosa más infantil que aún haces?
verdad,¿Qué aplicación usas más en tu teléfono?
verdad,¿Cuál ha sido tu peor cita romántica?
verdad,¿Qué es lo más raro que has buscado en Internet?
verdad,¿Cuál es tu guilty pleasure musical?
verdad,¿Qué talento secreto tienes que nadie conoce?
reto,Imita a tu profesor favorito durante 2 minutos
reto,Baila sin música durante 1 minuto
reto,Haz 20 flexiones
reto,Canta el himno nacional de pie
reto,Come algo picante sin beber agua por 2 minutos
reto,Cuenta un chiste malo y ríete de tu propio chiste
reto,Habla con acento de otro país por 5 minutos
reto,Haz el animal que más te guste durante 1 minuto
reto,Llama a tu crush y dile algo bonito
reto,Actúa como si fueras un robot durante 3 minutos
verdad,¿Cuál es el peor regalo que has recibido?
verdad,¿Qué harías si te quedaran 24 horas de vida?
verdad,¿Cuál es tu mayor inseguridad?
verdad,¿Qué es lo más loco que has hecho por amor?
verdad,¿Cuál es tu recuerdo más vergonzoso de la infancia?
verdad,¿Qué piensas realmente de la persona a tu derecha?
verdad,¿Cuál es la cosa más cara que has roto?
verdad,¿Qué es lo más extraño que has comido?
verdad,¿Cuál ha sido tu mayor metedura de pata?
verdad,¿Qué mentira dices más frecuentemente?
reto,Envía un mensaje random a alguien de tu lista de contactos
reto,Deja que el grupo revise tu galería de fotos por 2 minutos
reto,Haz una llamada poniendo altavoz y habla como un bebé
reto,Actúa como tu celebrity crush durante 3 minutos
reto,Come una cucharada de sal
reto,Ponte la ropa al revés hasta el próximo turno
reto,Haz una declaración de amor a un objeto inanimado
reto,Intenta lamer tu propio codo por 1 minuto
reto,Canta y baila tu canción favorita
reto,Haz 30 sentadillas
verdad,¿Cuál es tu mayor arrepentimiento?
verdad,¿Qué es lo más estúpido que has hecho estando borracho/a?
verdad,¿A quién stalkeas más en redes sociales?
verdad,¿Cuál es tu fantasía más loca?
verdad,¿Qué es lo más rebelde que has hecho?
verdad,¿Cuál es el apodo más extraño que has tenido?
verdad,¿Qué es lo más inmaduro que has hecho siendo adulto/a?
verdad,¿Cuál es tu mayor crush de famoso/a?
verdad,¿Qué es lo más impulsivo que has comprado?
verdad,¿Cuál ha sido tu momento más embarazoso en público?
