tipo,pregunta
sexual,Yo nunca lo he hecho sin haber querido.
sexual,Yo nunca lo he hecho con mas de una persona en un mismo dia.
sexual,Yo nunca he querido tirarme a la madre/padre de un amigo/a.
sexual,Yo nunca he querido tirarme al hermano/a de un amigo/a.
sexual,Yo nunca me he querido liar con alguien presente.
sexual,Yo nunca he tenido fantasias sexuales sobre alguien que no considerase atractivo/a.
sexual,Yo nunca lo he hecho a pelo.
sexual,Yo nunca he acabado en la boca de alguien/ me han acabado en la boca.
sexual,Yo nunca he querido tirarme al novio/a de un amigo/a.
sexual,A mi nunca me han pedido que fuese mas lento porque iba demasiado rapido.
sexual,Yo nunca he dejado con las ganas a alguien.
sexual,A mi nunca me han dejado con las ganas.
humor,Yo nunca he tenido la tipica discusion de "luces encendidas/ apagadas".
sexual,Yo nunca me he encontrado un pelo en la boca tras hacer oral.
amor,Yo nunca he puesto los cuernos.
amor,A mi nunca me han puesto los cuernos.
sexual,Yo nunca he dudado de mi orientacion sexual.
sexual,Yo nunca me he liado con dos personas de distinto sexo en una noche.
amor,Yo nunca me he liado con alguien y me he arrepentido inmediatamente despues.
sexual,Yo nunca he tenido sexo por pena.
amor,Yo nunca me he tirado a mi ex.
sexual,A mi nunca me han pillado en el acto.
sexual,Yo nunca lo he hecho en un lugar publico.
sexual,Yo nunca lo he hecho en la cama de una tercera persona.
sexual,Yo nunca lo he hecho con mas gente al rededor.
sexual,Yo nunca he hecho un trio.
sexual,Yo nunca he tenido fantasias sexuales sobre hacer un trio con mi novio/a y otra persona.
sexual,Yo nunca me he masturbado con un objeto inanimado.
sexual,Yo nunca me he hecho daño a mi mismo al masturbarme.
amor,Yo nunca me he decepcionado al liarme/tirarme a alguien con quien tenia muchas ganas.
sexual,Yo nunca he practicado sadomasoquismo o usado objetos relacionados.
sexual,Yo nunca he intentado anal pero no salio bien.
sexual,Yo nunca he practicado anal por placer.
sexual,Yo nunca me he liado/tirado a alguien que tenia minimo 5 años mas que yo.
sexual,Yo nunca he hecho algo sexual en el colegio/universidad.
